Timestamp,t [ms],P_o,P_i
19:05:37.199,1869.087,1.54,1.54
19:05:37.300,1869.187,2.69,-0.07
19:05:37.399,1869.287,2.23,1.54
19:05:37.513,1869.387,0.39,1.54
19:05:37.603,1869.487,2.69,2.23
19:05:37.699,1869.587,1.08,1.08
19:05:37.799,1869.687,2.69,0.39
19:05:37.899,1869.787,2.23,2.23
19:05:37.999,1869.887,1.54,2.23
19:05:38.100,1869.987,1.54,-0.07
19:05:38.199,1870.087,1.08,1.08
19:05:38.301,1870.187,2.69,-0.07
19:05:38.399,1870.287,2.23,3.38
19:05:38.513,1870.387,0.39,1.54
19:05:38.603,1870.487,1.54,2.23
19:05:38.699,1870.587,1.54,1.54
19:05:38.800,1870.687,2.69,-0.07
19:05:38.899,1870.787,0.39,1.08
19:05:38.999,1870.887,2.23,0.39
19:05:39.099,1870.987,2.23,1.54
19:05:39.199,1871.087,1.08,0.39
19:05:39.299,1871.187,1.54,1.54
19:05:39.399,1871.287,1.54,0.39
19:05:39.513,1871.387,3.38,2.69
19:05:39.611,1871.487,0.39,1.54
19:05:39.699,1871.587,1.54,1.54
19:05:39.799,1871.687,1.54,1.54
19:05:39.899,1871.787,1.54,2.23
19:05:40.000,1871.887,2.23,0.39
19:05:40.099,1871.987,0.39,0.39
19:05:40.200,1872.087,-0.07,0.39
19:05:40.299,1872.187,1.54,1.54
19:05:40.399,1872.287,1.54,0.39
19:05:40.513,1872.387,1.54,1.54
19:05:40.609,1872.487,1.54,1.54
19:05:40.699,1872.587,2.69,1.08
19:05:40.799,1872.687,1.08,1.08
19:05:40.899,1872.787,1.54,2.69
19:05:40.999,1872.887,1.54,1.54
19:05:41.099,1872.987,2.69,2.23
19:05:41.199,1873.087,2.23,1.08
19:05:41.299,1873.187,1.08,1.08
19:05:41.399,1873.287,2.23,3.38
19:05:41.513,1873.387,1.08,0.39
19:05:41.612,1873.487,2.69,1.08
19:05:41.699,1873.587,1.08,2.23
19:05:41.799,1873.687,2.23,2.23
19:05:41.899,1873.787,0.39,2.23
19:05:41.999,1873.887,1.54,2.23
19:05:42.099,1873.987,2.69,1.54
19:05:42.199,1874.087,1.08,2.23
19:05:42.299,1874.187,2.69,1.08
19:05:42.399,1874.287,2.23,2.23
19:05:42.513,1874.387,1.54,0.39
19:05:42.612,1874.487,0.39,1.08
19:05:42.699,1874.587,1.08,1.54
19:05:42.799,1874.687,1.54,1.54
19:05:42.899,1874.787,1.08,1.08
19:05:42.999,1874.887,0.39,1.54
19:05:43.099,1874.987,1.08,1.54
19:05:43.199,1875.087,2.23,1.54
